wiki,rev_id
ar,47789983
ar,47695439
ar,63550099
ar,29859242
ar,47698698
ar,47774561
ar,47776473
ar,61662097
ar,61618795
ar,61581698
ar,57203157
ar,57203550
ar,47820450
ar,30234156
ar,47735216
ar,47787323
ar,47787852
ar,47754127
ar,47755118
ar,47757296
ar,47756690
ar,47759198
ar,47755580
ar,47761612
ar,47694537
bn,2977937
bn,2977958
bn,2938964
bn,5881552
bn,5881556
bn,4860091
bn,5734757
bn,7484012
bn,5734728
bn,2977925
bn,2977912
bn,2977950
bn,2939027
bn,2976668
bn,3322592
bn,2976671
bn,2978932
bn,5666942
bn,3323985
ca,31206606
ca,30190185
ca,26026710
ca,20713879
ca,31206626
ca,19496598
ca,26026763
ca,26032437
ca,19493762
ca,19493677
ca,19491537
ca,19490694
ca,19490624
ca,31167038
ca,31166981
ca,31162574
ca,27821850
ca,19493609
ca,19621595
ca,29537924
ca,26032597
ca,31166952
ca,22657949
ca,30190191
ca,20649057
ca,20649668
ca,20649789
ca,19477732
ca,33976390
ca,29249064
ca,19475596
ca,19475523
ca,29269675
ca,29269714
ca,29269731
ca,29269818
ca,29269872
ca,19473657
ca,29269983
ca,29278976
ca,20649035
ca,19481744
ca,19481755
ca,20643205
ca,20643217
ca,19482402
ca,19482294
ca,20643285
ca,20643801
ca,20643805
ca,20643944
ca,20643979
ca,20644008
ca,20644097
ca,20644119
ca,20644131
ca,26026900
ca,19481805
ca,19481779
ca,29278986
ca,19496600
ca,19613881
ca,19618067
ca,19595349
ca,19594875
ca,19594533
ca,19618101
ca,34559391
ca,34559355
ca,34559336
ca,34552285
ca,32958866
ca,34552022
ca,32959108
ca,32959369
ca,32959438
ca,34551998
ca,34550096
ca,29332394
ca,34565089
ca,22619914
ca,34630603
ca,34604299
ca,34590556
ca,19615922
ca,19615929
ca,19615944
ca,19615964
ca,19609935
ca,19609910
ca,19609874
ca,19616345
ca,19616377
ca,19616472
ca,19616497
ca,19616558
ca,19613863
ca,22631659
ca,31251487
ca,31240301
ca,33098475
ca,33098498
ca,33098520
ca,33098531
ca,33099114
ca,33099122
ca,33120496
ca,19499345
ca,19499284
ca,19499260
ca,19498865
ca,19498855
ca,19496926
ca,19496783
ca,31253492
ca,31256027
ca,26184562
ca,26184368
ca,26184076
ca,31295130
ca,33065499
ca,33065539
ca,33065613
ca,33066527
ca,19621054
ca,19621426
ca,19621439
ca,31267836
ca,19621534
ca,19621537
ca,19621549
ca,31257858
ca,19496618
ca,29294938
ca,27335711
ca,29351622
ca,29351658
ca,29386098
ca,29387642
ca,19446936
ca,27335706
ca,29352323
ca,19446940
ca,20696750
ca,20697543
ca,29392094
ca,29364786
ca,20689114
ca,19491415
ca,29382691
ca,19913985
ca,20697802
ca,20697649
ca,29328884
ca,33872845
ca,29361183
ca,29361204
cs,24933547
cs,22766767
cs,19430033
cs,23589411
cs,19430535
cs,22812793
cs,20908010
cs,21351594
cs,22808818
cs,21351425
cs,22809130
cs,22919737
cs,22809145
cs,24606916
cs,22812762
cs,23907437
cs,23905355
cs,23905316
cs,23853212
cs,22361806
cs,21439360
cs,21439332
cs,21439079
cs,20903746
cs,23622320
cs,23622370
cs,22759625
cs,21320148
cs,22371298
cs,22824772
cs,22824742
cs,23905267
cs,19554241
cs,21264585
cs,22759577
cs,22823125
cs,22823480
cs,23588509
cs,24935417
cs,23588555
cs,23588675
cs,23589394
cs,22371317
cs,19446375
cs,24610936
cs,19859835
cs,19860016
cs,19860076
cs,19860162
cs,24610767
cs,19443596
cs,19443411
cs,19443363
cs,22787739
cs,19453805
cs,22794188
cs,22794476
cs,19453853
cs,19446751
cs,19446778
cs,19448429
cs,19448547
cs,19448627
cs,19448683
cs,19448704
cs,22797577
cs,23958520
cs,22797436
cs,19445161
cs,24951420
cs,24623657
cs,23942211
cs,24951470
cs,24951512
cs,21356452
cs,21356162
cs,19446110
cs,23926440
cs,22806874
cs,21354260
cs,21354228
cs,21353643
cs,21353552
cs,21381717
cs,22781064
cs,21381692
cs,24951439
cs,21325024
cs,22783204
cs,23939932
cs,21360762
cs,22783148
cs,23938962
cs,20664850
cs,24625429
cs,24625479
cs,24625625
cs,21353416
cs,24595514
cs,24578260
cs,22858527
cs,22845818
cs,22858548
cs,22858579
cs,22858637
cs,21753400
cs,22854633
cs,24592088
cs,24592134
cs,24579344
cs,24579374
cs,22856746
cs,23625908
cs,24596368
cs,20903472
cs,24596381
cs,22845777
cs,23625971
cs,22845858
cs,24579434
cs,21753388
cs,22837215
cs,22402671
cs,22691909
cs,22403622
cs,22393898
cs,22400492
cs,22393034
cs,22841507
cs,23975827
cs,20842765
cs,22406325
cs,21425406
cs,19554310
cs,22399535
cs,22399740
cs,22683665
cs,21419494
cs,22399980
cs,22399984
cs,22841904
cs,22383629
cs,22383619
el,10084523
el,8004023
el,8003942
el,10707093
el,7979437
el,8003958
el,8003952
el,8003982
el,8003980
el,8004013
el,8004002
el,8004000
el,8003988
el,8003996
el,8003997
en,1082584956
en,1083207576
en,1084637404
en,1083031903
en,1083206701
en,1084798379
en,1083188174
en,1084648070
en,1083031710
en,1084824261
en,1084823122
en,1084840402
en,1083365305
en,1089476618
en,1083364597
en,1083373749
en,1083257114
en,1089427733
en,1083363683
en,1083360304
en,1084937169
en,1083358522
en,1083356997
en,1083354032
en,1084884439
en,1083323783
en,1084603662
en,1083247956
en,1083208192
en,1083373092
en,1083023485
en,1084762488
en,1089476470
en,1082689123
en,1084753633
en,1089477017
en,1082667629
en,1082667288
en,1082659893
en,1082659143
en,1089428608
en,1082657897
en,1082656117
en,1082653430
en,1082754883
en,1082651298
en,1084753139
en,1089428191
en,1082716014
en,1084797434
en,1082854643
en,1082853915
en,1082792578
en,1082620644
en,1082647284
en,1082647663
en,1089452930
en,1082583593
en,1082751903
en,1084769613
en,1082744566
en,1082650630
en,1084763056
en,1089428776
en,1082730171
en,1089428884
en,1083642233
en,1083776402
en,1084195680
en,1083777915
en,1083778550
en,1084193528
en,1083779820
en,1089466601
en,1084192783
en,1089463024
en,1083784778
en,1083770902
en,1083767865
en,1083758861
en,1083645148
en,1089447146
en,1089449677
en,1084215642
en,1083676031
en,1083734668
en,1084214482
en,1084197058
en,1083735088
en,1083751784
en,1083786627
en,1084179056
en,1083815709
en,1083876783
en,1084050028
en,1083881745
en,1083897897
en,1083907225
en,1083908666
en,1083909157
en,1083920580
en,1083993012
en,1083814452
en,1083799084
en,1084117296
en,1086548044
en,1083790341
en,1089456002
en,1084176764
en,1083791915
en,1084175540
en,1083792564
en,1083793652
en,1084129052
en,1083796192
en,1083930278
en,1083640891
en,1087945257
en,1083412760
en,1084344778
en,1083414278
en,1083420798
en,1083425367
en,1084340350
en,1089439886
en,1084255814
en,1084255454
en,1083434612
en,1084356993
en,1084403859
en,1084432455
en,1089429695
en,1083375126
en,1089475272
en,1083410393
en,1089430849
en,1089436797
en,1089437618
en,1084601696
en,1089439581
en,1084567182
en,1083435023
en,1083437192
en,1083613529
en,1083617380
en,1083619047
en,1083620887
en,1083621776
en,1083622784
en,1083639807
en,1089467480
en,1084218442
en,1089441760
en,1083611708
en,1083573841
en,1089474228
en,1084228552
en,1083438601
en,1083467432
en,1083485487
en,1083488941
en,1083515110
en,1083542218
en,1083560205
en,1083560784
en,1083564839
en,1089442299
en,1078984902
en,1079432643
en,1079460408
en,1089523403
en,1079578544
en,1079580229
en,1079598437
en,1079612894
en,1079613647
en,1079616255
en,1079616846
en,1079618483
en,1079618036
en,1079618689
en,1079254203
en,1079230770
en,1079120671
en,1079030087
en,1079046723
en,1079055259
en,1079062632
en,1089526376
en,1079070616
en,1079094735
en,1079094944
en,1089524567
en,1089524319
en,1089524275
en,1079098422
en,1079103560
en,1079618973
en,1089522624
en,1079696544
en,1079745467
en,1079807185
en,1079824936
en,1079825569
en,1079826360
en,1079828135
en,1079829550
en,1079829799
en,1082669847
en,1079838919
en,1079840943
en,1089510544
en,1079691389
en,1079681645
en,1079660632
en,1079620431
en,1079620704
en,1079621430
en,1079621909
en,1079623484
en,1079623824
en,1079624526
en,1079626212
en,1089522555
en,1079626639
en,1089521884
en,1079650359
en,1089514610
en,1089509785
en,1078133777
en,1078392598
en,1078408653
en,1078433108
en,1078435620
en,1078480750
en,1078532122
en,1078539111
en,1078540039
en,1078570056
en,1078570466
en,1089542157
en,1078619080
en,1078622372
en,1078372089
en,1078371858
en,1078371614
en,1078134169
en,1078135253
en,1078156653
en,1078157906
en,1078191954
en,1078310150
en,1078340385
en,1078344082
en,1078362985
en,1078364688
en,1078365150
en,1078369098
en,1078370136
en,1078634232
en,1078635410
en,1078906610
en,1078920370
en,1089537694
en,1078922714
en,1078937973
en,1089537361
en,1078938666
en,1089536621
en,1089535168
en,1078941091
en,1089534549
en,1089531854
en,1089527775
en,1078903591
en,1078896938
en,1089538021
en,1089539746
en,1078636709
en,1078684379
en,1078690855
en,1078703254
en,1078800082
en,1078819532
en,1078822394
en,1089539360
en,1078824086
en,1078833684
en,1078834665
en,1078835497
en,1078979199
en,1079859538
en,1080987785
en,1081354817
en,1081362471
en,1081450473
en,1081474508
en,1081538299
en,1081546693
en,1081552538
en,1081595675
en,1081598501
en,1081662574
en,1081669435
en,1081669957
en,1081705068
en,1081333310
en,1081319024
en,1081273341
en,1089505540
en,1089494859
en,1081002661
en,1081005467
en,1081101532
en,1081102864
en,1081117938
en,1081119032
en,1081138975
en,1081180571
en,1081190953
en,1081212651
en,1081273059
en,1081796999
en,1081867278
en,1082329503
en,1082330680
en,1082332638
en,1082352094
en,1089477682
en,1082369999
en,1082374472
en,1082385158
en,1082385490
en,1082425385
en,1082467969
en,1082509259
en,1082517691
en,1082326101
en,1082324756
en,1082321058
en,1081953074
en,1081953831
en,1081955288
en,1081956956
en,1089485993
en,1089482956
en,1089482697
en,1089478441
en,1082120612
en,1082121485
en,1082264779
en,1082269852
en,1082304843
en,1082556308
en,1082373678
en,1089264416
en,1080063453
en,1080063800
en,1080064421
en,1080065030
en,1080065812
en,1080103775
en,1080115946
en,1080116099
en,1080126248
en,1080127903
en,1080137214
en,1080139773
en,1080061081
en,1080039569
en,1080020136
en,1089509352
en,1079949863
en,1079950068
en,1089509352
en,1079951961
en,1079961883
en,1079974237
en,1079975998
en,1079976471
en,1079980017
en,1079980821
en,1079981972
en,1079984945
en,1080153557
en,1080169399
en,1080439142
en,1080440402
en,1080455025
en,1080518784
en,1080528340
en,1080669313
en,1080767733
en,1080770058
en,1080818141
en,1080851409
en,1080864872
en,1080935057
en,1089506142
en,1080385826
en,1080383668
en,1080379531
en,1080173124
en,1080178802
en,1080208482
en,1080208655
en,1089508582
en,1089508126
en,1080208829
en,1089507251
en,1080210195
en,1080210439
en,1089506831
en,1080311112
en,1080344291
en,1080977742
en,1089360491
en,1088233654
en,1089319747
en,1088235101
en,1089296327
en,1088235577
en,1089285776
en,1089279633
en,1088235805
en,1088239373
en,1088241463
en,1089276721
en,1089267032
en,1089266016
en,1088242120
en,1088229690
en,1088229249
en,1088220250
en,1088224287
en,1089357467
en,1089355107
en,1089355422
en,1089355422
en,1089346110
en,1089344510
en,1089344236
en,1089328746
en,1089321527
en,1088227271
en,1088228164
en,1088228352
en,1088242852
en,1088242965
en,1088244413
en,1088319973
en,1088321768
en,1088322793
en,1088323808
en,1088325313
en,1088325017
en,1088326806
